path	line	offset_or_marker	text
Program/src/patches/patch_always_dispatch_events.pl	61	0x004ef188	"0xc7, 0x05, 0x88, 0xf1, 0x4e, 0x00,  0x00, 0x00, 0x00, 0x11);	# mov	dword [0x004ef188], 0x11000000	; PARTIALLY_extra_abilities_of_all_cards_in_play = EA_CONTROLLED|EA_FORCE_ATTACK"
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	8	Patch	use Manalink::Patch;
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	16	0x7e704c	"#434471:	66 f7 84 c0 4c 70 7e 00 00 10	test	word [eax+eax*8+0x7e704c], 0x1000	; if ((card_data[esi->internal_card_id].extra_ability & EA_MANA_SOURCE)"
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	17	0x434487	"#43447b:	74 0a				je	0x434487				;     == 0) goto 0x434487"
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	18	0x7904bc	"#43447d:	c7 05 bc 04 79 00 ff ff ff ff	mov	dword [0x7904bc], -1			; tapped_for_mana_color = -1"
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	20	patch	"patch(""Magic.exe"", 0x43446b,"
Program/src/patches/patch_attach_equipment.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_attach_equipment.pl	27	Magic.exe	"$filename = ""Magic.exe"";"
Program/src/patches/patch_attach_equipment.pl	36	0x73bb00	"# 4381ef:	8b 04 85 00 bb 73 00    mov	eax, dword [eax*4+0x73bb00]	; eax = cards_ptr[eax]"
Program/src/patches/patch_attach_equipment.pl	38	0x438389	"# 4381fa:	0f 85 89 01 00 00       jne	0x438389			;     != 0) goto 0x438389"
Program/src/patches/patch_attach_equipment.pl	40	0x438389	"# 438206:	0f 84 7d 01 00 00       je	0x438389			;     == 0) goto 0x438389"
Program/src/patches/patch_attach_equipment.pl	42	0x381ec	seek_and_write($f, 0x381ec,
Program/src/patches/patch_attach_equipment.pl	47	0x200a9fd	"0xe8, 0x04, 0x28, 0xbd, 0x01,		# call	is_displayed_attached_equipment_or_aura	; 0x200a9fd"
Program/src/patches/patch_attach_equipment.pl	49	0x438389	"0x0f, 0x84, 0x88, 0x01, 0x00, 0x00,	# jz	0x438389		;     == 0) goto 0x438389"
Program/src/patches/patch_attach_equipment.pl	57	0x73bb00	"# 438261:	8b 04 85 00 bb 73 00	mov	eax, dword [eax*4+0x73bb00]	; eax = cards_ptr[eax]"
Program/src/patches/patch_attach_equipment.pl	59	0x43828c	"# 43826c:	75 1e			jne	0x43828c			;     != 0) goto 0x43828c"
Program/src/patches/patch_attach_equipment.pl	61	0x43828c	"# 438274:	74 16			je	0x43828c			;     == 0) goto 0x43828c"
Program/src/patches/patch_attach_equipment.pl	63	0x3825e	seek_and_write($f, 0x3825e,
Program/src/patches/patch_attach_equipment.pl	68	0x200a9fd	"0xe8, 0x92, 0x27, 0xbd, 0x01,		# call	is_displayed_attached_equipment_or_aura	; 0x200a9fd"
Program/src/patches/patch_attach_equipment.pl	70	0x43828c	"0x74, 0x1d,				# jz	0x43828c		;     == 0) goto 0x438389"
Program/src/patches/patch_attach_equipment.pl	77	0x73bb00	"# 49a91f:	8b 04 85 00 bb 73 00	mov	eax, dword [eax*4+0x73bb00]	; eax = cards_ptr[eax]"
Program/src/patches/patch_attach_equipment.pl	79	0x49a9f1	"# 49a92a:	0f 85 c1 00 00 00	jne	0x49a9f1			;     != 0) goto 0x49a9f1"
Program/src/patches/patch_attach_equipment.pl	81	0x49a9f1	"# 49a936:	0f 84 b5 00 00 00	je	0x49a9f1			;     == 0) goto 0x49a9f1"
Program/src/patches/patch_attach_equipment.pl	83	0x9a91f	seek_and_write($f, 0x9a91f,
Program/src/patches/patch_attach_equipment.pl	88	0x200a9fd	"0xe8, 0xcb, 0x00, 0xb7, 0x01,		# call	is_displayed_attached_equipment_or_aura	; 0x200a9fd"
Program/src/patches/patch_attach_equipment.pl	90	0x49a9f1	"0x0f, 0x84, 0xb7, 0x00, 0x00, 0x00,	# jz	0x49a9f1		;     == 0) goto 0x49a9f1"
Program/src/patches/patch_attach_equipment.pl	94	0x200b222	# Replace entire function with an injection to 0x200b222 (destroy_attached_auras_and_obliterate_card) #
Program/src/patches/patch_attach_equipment.pl	101	0x77d90	seek_and_write($f, 0x77d90,
Program/src/patches/patch_attach_equipment.pl	102	0x0200b222	"0xe9, 0x8d, 0x34, 0xb9, 0x01,	# jmp 0x0200b222"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	27	Magic.exe	"$filename = ""Magic.exe"";"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	35	0x4ef198	"# 42e24e:	a1 98 f1 4e 00		mov	eax, [0x4ef198]			; eax = max_x_value"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	37	0x4ef1a0	"# 42e254:	a1 a0 f1 4e 00		mov	eax, [0x4ef1a0]			; eax = x_value"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	39	0x4ef400	"# 42e25a:	68 00 f4 4e 00		push	0x4ef400			; arg1 = &PAY_MANA_COLORLESS"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	40	0x42f130	"# 42e25f:	e8 cc 0e 00 00		call	0x42f130			; eax = pay_mana_maximally_satisfied(&PAY_MANA_COLORLESS, x_value, max_x_value)"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	43	0x42e285	"# 42e269:	75 1a			jne	0x42e285			;     != 0) goto 0x42e285"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	53	0x42f4a0	"# 42e27d:	e8 1e 12 00 00		call	0x42f4a0			; eax = try_to_pay_for_mana_by_autotapping(player, &amt, &v46, AUTOTAP_NO_CREATURES|AUTOTAP_NO_ARTIFACTS|AUTOTAP_NO_DONT_AUTO_TAP|AUTOTAP_NO_NONBASIC_LANDS, v47)"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	56	0x4ef198	"# 42e285:	a1 98 f1 4e 00		mov	eax, [0x4ef198]			; eax = max_x_value"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	58	0x4ef1a0	"# 42e28b:	a1 a0 f1 4e 00		mov	eax, [0x4ef1a0]			; eax = x_value"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	60	0x4ef400	"# 42e291:	68 00 f4 4e 00		push	0x4ef400			; arg1 = &PAY_MANA_COLORLESS"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	61	0x42f130	"# 42e296:	e8 95 0e 00 00		call	0x42f130			; eax = pay_mana_maximally_satisfied(&PAY_MANA_COLORLESS, x_value, max_x_value)"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	64	0x42e2bc	"# 42e2a0:	75 1a			jne	0x42e2bc			;     != 0) goto 0x42e2bc"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	74	0x42f4a0	"# 42e2b4:	e8 e7 11 00 00		call	0x42f4a0			; eax = try_to_pay_for_mana_by_autotapping(player, &amt, &v46, AUTOTAP_NO_CREATURES|AUTOTAP_NO_ARTIFACTS|AUTOTAP_NO_DONT_AUTO_TAP, v47)"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	78	0x2e24e	seek_and_write($f, 0x2e24e,
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	87	0x42e2bc	"0xeb, 0x56,			# jmp	0x42e2bc		; skip over the following nop's"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	95	0x48c2e1	"# 48c299:	74 46			je	0x48c2e1			;     == 0) goto 0x48c2e1"
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	98	0x8c292	seek_and_write($f, 0x8c292,
Program/src/patches/patch_change_ai_time.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_change_ai_time.pl	26	Magic.exe	"$filename = ""Magic.exe"";"
Program/src/patches/patch_change_ai_time.pl	31	0x472d10	# Replace function check_timer_for_ai_speculation() at 0x472d10 with a call into C. #
Program/src/patches/patch_change_ai_time.pl	35	0x472c90	"# 472d10:	e8 7b ff ff ff		# call	0x472c90		; eax = get_usertime_of_current_thread_in_ms()"
Program/src/patches/patch_change_ai_time.pl	36	0x56bf64	"# 472d15:	2b 05 64 bf 56 00	# sub	eax, dword [0x56bf64]	; eax -= start_usertime_of_current_thread_in_ms"
Program/src/patches/patch_change_ai_time.pl	40	0x151d	"# 472d24:	b9 1d 15 00 00		# mov	ecx, 0x151d		; ecx = 5405"
Program/src/patches/patch_change_ai_time.pl	45	0x72d10	seek_and_write($f, 0x72d10,
Program/src/patches/patch_change_ai_time.pl	46	0x200aa07	"0xe9, 0xf2, 0x7c, 0xb9, 0x01,	# jmp	0x200aa07	;  check_timer_for_ai_speculation() in C"
Program/src/patches/patch_change_ai_time.pl	75	0xa0840	seek_and_write($f, 0xa0840,
Program/src/patches/patch_change_ai_time.pl	77	0x200aa0c	"0xe8, 0xc6, 0xa1, 0xb6, 0x01,	# call	0x200aa0c	; after_load_game() in C"
Program/src/patches/patch_change_ai_time.pl	96	0x9f739	seek_and_write($f, 0x9f739,
Program/src/patches/patch_change_ai_time.pl	97	0x4a083d	"0xe9, 0xff, 0x10, 0x00, 0x00);	# jmp 0x4a083d		; goto tail of load_sealeddeck()"
Program/src/patches/patch_change_ai_time.pl	124	0xa049e	seek_and_write($f, 0xa049e,
Program/src/patches/patch_change_ai_time.pl	125	0x4a083d	"0xe9, 0x9a, 0x03, 0x00, 0x00);	# jmp 0x4a083d		; goto tail of load_sealeddeck()"
Program/src/patches/patch_change_ai_time.pl	148	0xa06e2	seek_and_write($f, 0xa06e2,
Program/src/patches/patch_change_ai_time.pl	149	0x4a083d	"0xe9, 0x56, 0x01, 0x00, 0x00);	# jmp 0x4a083d		; goto tail of load_sealeddeck()"
Program/src/patches/patch_change_ai_time_540.c	2	patch	"#include ""patch.h"""
Program/src/patches/patch_change_ai_time_540.c	4	Magic.exe	// Historical helper for unhooked Magic.exe builds.
Program/src/patches/patch_change_ai_time_540.c	7	patch_	// patch_change_ai_time.pl. For current binaries, patch the ManalinkEh.dll
Program/src/patches/patch_change_ai_time_540.c	8	patch	// fallback with tools/patch-ai-decision-fallback.py instead.
Program/src/patches/patch_change_ai_time_540.c	19	Magic.exe	"OPEN(""Magic.exe"");"
Program/src/patches/patch_change_ai_time_540.c	22	0x472d10	* Replace constant in check_timer_for_ai_speculation() at 0x472d10 from 5405 to 270. *
Program/src/patches/patch_change_ai_time_540.c	26	0x472c90	"* 472d10:	e8 7b ff ff ff		# call	0x472c90		; eax = get_usertime_of_current_thread_in_ms()"
Program/src/patches/patch_change_ai_time_540.c	27	0x56bf64	"* 472d15:	2b 05 64 bf 56 00	# sub	eax, dword [0x56bf64]	; eax -= start_usertime_of_current_thread_in_ms"
Program/src/patches/patch_change_ai_time_540.c	31	0x151d	"* 472d24:	b9 1d 15 00 00		# mov	ecx, 0x151d		; ecx = 5405"
Program/src/patches/patch_change_ai_time_540.c	42	0x72d24	if (fseek(f, 0x72d24, SEEK_SET))
Program/src/patches/patch_change_ai_time_540.c	43	0x72d24	"die(""Couldn't seek to %x in %s"", 0x72d24, filename);"
Program/src/patches/patch_change_ai_time_540.c	46	0x72d24	"die(""Couldn't read preimage at %x in %s"", 0x72d24, filename);"
Program/src/patches/patch_change_ai_time_540.c	50	patch_	"popup(""patch_change_ai_time_540"","
Program/src/patches/patch_change_ai_time_540.c	51	Magic.exe	"""Skipped Magic.exe: the active check_timer_for_ai_speculation() path already jumps into C. Patch ManalinkEh.dll with tools/patch-ai-decision-fallback.py instead."");"
Program/src/patches/patch_change_ai_time_540.c	53	patch_	"popup(""patch_change_ai_time_540"","
Program/src/patches/patch_change_ai_time_540.c	54	Magic.exe	"""Skipped Magic.exe: unexpected bytes at 0x72d24:%s"","
Program/src/patches/patch_change_ai_time_540.c	61	0x010e	"#define INJ	""\xb9\x0e\x01\x00\x00""	/* mov	ecx, 0x010e		; ecx = 270	*/"
Program/src/patches/patch_change_ai_time_540.c	62	0x72d24	SEEK_AND_WRITE(f, 0x72d24);
Program/src/patches/patch_change_ai_time_540.c	67	patch_	"SUCCESS(""patch_change_ai_time_540"");"
Program/src/patches/patch_charge_mana.pl	3	Magic.exe	# Updates Magic.exe and ManalinkEx.dll in-place.
Program/src/patches/patch_charge_mana.pl	35	Magic.exe	"$filename = ""Magic.exe"";"
Program/src/patches/patch_charge_mana.pl	44	0x4ef1a0	"# 42e953:	a1 a0 f1 4e 00		mov	eax, dword [0x4ef1a0]	; eax = x_value"
Program/src/patches/patch_charge_mana.pl	47	0x2e953	seek_and_write($f, 0x2e953,
Program/src/patches/patch_charge_mana.pl	48	0x1270090	"0xe9, 0x38, 0x17, 0xe4, 0x00);	# jmp	0x1270090"
Program/src/patches/patch_charge_mana.pl	58	0x2eac9	seek_and_write($f, 0x2eac9,
Program/src/patches/patch_charge_mana.pl	59	0x12700e0	"0xe9, 0x12, 0x16, 0xe4, 0x00,	# jmp	0x12700e0"
Program/src/patches/patch_charge_mana.pl	67	0x4ef1a0	"# 42ff0a:	a1 a0 f1 4e 00		mov	eax, dword [0x4ef1a0]	; eax = x_value"
Program/src/patches/patch_charge_mana.pl	70	0x2ff0a	seek_and_write($f, 0x2ff0a,
Program/src/patches/patch_charge_mana.pl	71	0x1270104	"0xe9, 0xf5, 0x01, 0xe4, 0x00);	# jmp	0x1270104"
Program/src/patches/patch_charge_mana.pl	79	0x4ef1a0	"# 43001d:     a3 a0 f1 4e 00		mov	[0x4ef1a0], eax		; x_value = eax"
Program/src/patches/patch_charge_mana.pl	82	0x3001a	seek_and_write($f, 0x3001a,
Program/src/patches/patch_charge_mana.pl	83	0x127013a	"0xe9, 0x1b, 0x01, 0xe4, 0x00,	# jmp	0x127013a"
Program/src/patches/patch_charge_mana.pl	92	0xd9434	seek_and_write($f, 0xd9434,
Program/src/patches/patch_charge_mana.pl	94	0x4ef1a0	"0xa0, 0xf1, 0x4e, 0x00,		# 0x4ef1a0 = &x_value"
Program/src/patches/patch_charge_mana.pl	95	0x4ef400	"0x00, 0xf4, 0x4e, 0x00,		# 0x4ef400 = &pay_mana_colorless"
Program/src/patches/patch_charge_mana.pl	96	0x4ef198	"0x98, 0xf1, 0x4e, 0x00);		# 0x4ef198 = &max_x_value"
Program/src/patches/patch_charge_mana.pl	109	0x26f490	"seek_and_write($f, 0x26f490,	# mapped to 0x1270090"
Program/src/patches/patch_charge_mana.pl	110	0x4d9434	"0xff, 0x35, 0x34, 0x94, 0x4d, 0x00,	# push	dword [0x4d9434]	; store old value of 0x4d9434 on stack"
Program/src/patches/patch_charge_mana.pl	112	0x4d9434	"0xa3, 0x34, 0x94, 0x4d, 0x00,		# mov	dword [0x4d9434], eax	; ...at 0x4d9434"
Program/src/patches/patch_charge_mana.pl	113	0x4d9438	"0xff, 0x35, 0x38, 0x94, 0x4d, 0x00,	# push	dword [0x4d9438]	; store old value of 0x4d9438 on stack"
Program/src/patches/patch_charge_mana.pl	115	0x4d9438	"0xa3, 0x38, 0x94, 0x4d, 0x00,		# mov	dword [0x4d9438], eax	; ...at 0x4d9438"
Program/src/patches/patch_charge_mana.pl	116	0x4d943c	"0xff, 0x35, 0x3c, 0x94, 0x4d, 0x00,	# push	dword [0x4d943c]	; store old value of 0x4d943c on stack"
Program/src/patches/patch_charge_mana.pl	118	0x4d943c	"0xa3, 0x3c, 0x94, 0x4d, 0x00,		# mov	dword [0x4d943c], eax	; ...at 0x4d943c"
Program/src/patches/patch_charge_mana.pl	119	0x4d9440	"0xff, 0x35, 0x40, 0x94, 0x4d, 0x00,	# push	dword [0x4d9440]	; store old value of 0x4d9440 on stack"
Program/src/patches/patch_charge_mana.pl	121	0x4d9440	"0xa3, 0x40, 0x94, 0x4d, 0x00,		# mov	dword [0x4d9440], eax	; ...at 0x4d9440"
Program/src/patches/patch_charge_mana.pl	122	0x4ef1a0	"0xa1, 0xa0, 0xf1, 0x4e, 0x00,		# mov	eax, dword [0x4ef1a0]	; eax = x_value	; the command replaced by the jmp here"
Program/src/patches/patch_charge_mana.pl	123	0x42e958	"0xe9, 0x7a, 0xe8, 0x1b, 0xff,		# jmp	0x42e958		; jmp to command following injection"
Program/src/patches/patch_charge_mana.pl	130	0x26f4e0	"seek_and_write($f, 0x26f4e0,	# mapped to 0x12700e0"
Program/src/patches/patch_charge_mana.pl	131	0x4d9440	"0x8f, 0x05, 0x40, 0x94, 0x4d, 0x00,	# pop	dword [0x4d9440]	; restore old value of 0x4d9440 from stack"
Program/src/patches/patch_charge_mana.pl	132	0x4d943c	"0x8f, 0x05, 0x3c, 0x94, 0x4d, 0x00,	# pop	dword [0x4d943c]	; restore old value of 0x4d943c from stack"
Program/src/patches/patch_charge_mana.pl	133	0x4d9438	"0x8f, 0x05, 0x38, 0x94, 0x4d, 0x00,	# pop	dword [0x4d9438]	; restore old value of 0x4d9438 from stack"
Program/src/patches/patch_charge_mana.pl	134	0x4d9434	"0x8f, 0x05, 0x34, 0x94, 0x4d, 0x00,	# pop	dword [0x4d9434]	; restore old value of 0x4d9434 from stack"
Program/src/patches/patch_charge_mana.pl	136	0x42eacf	"0xe9, 0xcc, 0xe9, 0x1b, 0xff,		# jmp	0x42eacf		; jmp to command following injection"
Program/src/patches/patch_charge_mana.pl	143	0x26f504	"seek_and_write($f, 0x26f504,	# mapped to 0x1270104"
Program/src/patches/patch_charge_mana.pl	144	0x4d9438	"0xff, 0x35, 0x38, 0x94, 0x4d, 0x00,	# push	dword [0x4d9438]	; store old value of 0x4d9438 on stack"
Program/src/patches/patch_charge_mana.pl	146	0x4d9438	"0xa3, 0x38, 0x94, 0x4d, 0x00,		# mov	dword [0x4d9438], eax	; ...at 0x4d9438"
Program/src/patches/patch_charge_mana.pl	147	0x4d943c	"0xff, 0x35, 0x3c, 0x94, 0x4d, 0x00,	# push	dword [0x4d943c]	; store old value of 0x4d943c on stack"
Program/src/patches/patch_charge_mana.pl	149	0x4d943c	"0xa3, 0x3c, 0x94, 0x4d, 0x00,		# mov	[0x4d943c], eax		; ...at 0x4d943c"
Program/src/patches/patch_charge_mana.pl	150	0x4d9440	"0xff, 0x35, 0x40, 0x94, 0x4d, 0x00,	# push	dword [0x4d9440]	; store old value of 0x4d9440 on stack"
Program/src/patches/patch_charge_mana.pl	152	0x4d9440	"0xa3, 0x40, 0x94, 0x4d, 0x00,		# mov	[0x4d9440], eax		; ...at 0x4d9440"
Program/src/patches/patch_charge_mana.pl	153	0x4ef1a0	"0xa1, 0xa0, 0xf1, 0x4e, 0x00,		# mov	eax, [0x4ef1a0]		; eax = x_value	; the command replaced by the jmp here"
Program/src/patches/patch_charge_mana.pl	154	0x42ff0f	"0xe9, 0xd7, 0xfd, 0x1b, 0xff,		# jmp	0x42ff0f		; jmp to cmomand following injection"
Program/src/patches/patch_charge_mana.pl	161	0x26f53a	"seek_and_write($f, 0x26f53a,	# mapped to 0x127013a"
Program/src/patches/patch_charge_mana.pl	162	0x4d9440	"0x8f, 0x05, 0x40, 0x94, 0x4d, 0x00,	# pop	dword [0x4d9440]	; restore old value of 0x4d9440 from stack"
Program/src/patches/patch_charge_mana.pl	163	0x4d943c	"0x8f, 0x05, 0x3c, 0x94, 0x4d, 0x00,	# pop	dword [0x4d943c]	; restore old value of 0x4d943c from stack"
Program/src/patches/patch_charge_mana.pl	164	0x4d9438	"0x8f, 0x05, 0x38, 0x94, 0x4d, 0x00,	# pop	dword [0x4d9438]	; restore old value of 0x4d9438 from stack"
Program/src/patches/patch_charge_mana.pl	166	0x4ef1a0	"0xa3, 0xa0, 0xf1, 0x4e, 0x00,		# mov	[0x4ef1a0], eax		; x_value = eax		; the other command replaced by the jmp here"
Program/src/patches/patch_charge_mana.pl	167	0x430022	"0xe9, 0xc9, 0xfe, 0x1b, 0xff,		# jmp	0x430022		; jmp to command following injection"
Program/src/patches/patch_charge_mana_can_activate.c	1	patch	"#include ""patch.h"""
Program/src/patches/patch_charge_mana_can_activate.c	3	Magic.exe	// Updates Magic.exe in-place.
Program/src/patches/patch_charge_mana_can_activate.c	16	Magic.exe	"OPEN(""Magic.exe"");"
Program/src/patches/patch_charge_mana_can_activate.c	23	0x42eba3	"* 42e917:	0f 85 86 02 00 00		# jne		0x42eba3				;     != 0) goto 0x42eba3"
Program/src/patches/patch_charge_mana_can_activate.c	24	0x20000	"* 42e91d:	f7 46 08 00 00 02 00	# test	dword [esi+0x8], 0x20000	; if ((instance->state & STATE_SUMMON_SICK)"
Program/src/patches/patch_charge_mana_can_activate.c	25	0x42e934	"* 42e924:	74 0e					# je	0x42e934					;     == 0) goto 0x42e934"
Program/src/patches/patch_charge_mana_can_activate.c	27	0x7c7000	"* 42e929:	8b 04 85 00 70 7c 00	# mov	eax, dword [eax*4+0x7c7000]	; eax = card_data_pointers[eax]"
Program/src/patches/patch_charge_mana_can_activate.c	29	0x42eba3	"* 42e934:	0f 85 69 02 00 00		# jne	0x42eba3					;     != 0) goto 0x42eba3"
Program/src/patches/patch_charge_mana_can_activate.c	33	0x42e93a	"#define INJ	""\xeb\x25\x90\x90""			/* jmp 0x42e93a */"
Program/src/patches/patch_charge_mana_can_activate.c	34	0x2e913	SEEK_AND_WRITE(f, 0x2e913);
Program/src/patches/patch_charge_mana_can_activate.c	43	0x7e7038	"* 42e9bf:	8a 8c c0 38 70 7e 00	# mov	cl, byte [eax+eax*8+0x7e7038]	; cl = cards_data[iid].type"
Program/src/patches/patch_charge_mana_can_activate.c	45	0x42e9ee	"* 42e9c9:	75 23					# jne	0x42e9ee						;     != 0) goto 0x42e9ee"
Program/src/patches/patch_charge_mana_can_activate.c	46	patch_	"* 42e9cb:	6a ff					# ...									; dispatch_event(...,CAN_ACTIVATE,...)"
Program/src/patches/patch_charge_mana_can_activate.c	49	0x42e9cb	"#define INJ	""\xeb\x10\x90""				/* jmp 0x42e9cb */"
Program/src/patches/patch_charge_mana_can_activate.c	50	0x2e9b9	SEEK_AND_WRITE(f, 0x2e9b9);
Program/src/patches/patch_charge_mana_can_activate.c	57	0x7e704c	"* 435c58:	f6 84 c0 4c 70 7e 00 01	# test	byte [eax+eax*8+0x7e704c], 0x1	; if (cards_data[iid].extra_ability & EA_ACT_ABILITY"
Program/src/patches/patch_charge_mana_can_activate.c	58	0x435c64	"* 435c60:	74 02					# je	0x435c64						;     == 0) goto 0x435c64"
Program/src/patches/patch_charge_mana_can_activate.c	61	0x435c64	"#define INJ	""\xeb\x0a\x90\x90\x90\x90\x90\x90""	/* jmp 0x435c64 */"
Program/src/patches/patch_charge_mana_can_activate.c	62	0x35c58	SEEK_AND_WRITE(f, 0x35c58);
Program/src/patches/patch_charge_mana_can_activate.c	67	patch_	"SUCCESS(""patch_charge_mana_can_activate"");"
Program/src/patches/patch_charge_mana_can_activate.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_charge_mana_can_activate.pl	11	Patch	use Manalink::Patch;
Program/src/patches/patch_charge_mana_can_activate.pl	18	0x42eba3	"#42e917:	0f 85 86 02 00 00	jne	0x42eba3			;     != 0) goto 0x42eba3"
